Scrip Code,Scrip ID,Scrip Name,Status,Group,Face Value,ISIN No,Industry
542012,AAL,A-1 Acid Ltd,Active,M,10.00,INE911Z01017,Comm.Trading  & Distribution
542580,AARTECH,Aartech Solonics Ltd,Active,M,10.00,INE01C001018,Heavy Electrical Equipment
539570,ACEWIN,Acewin Agriteck Ltd,Active,M,10.00,INE742R01013,Other Food Products
536737,ACFSL,Amrapali Capital and Finance Services Ltd,Active,M,10.00,INE218P01018,Finance (including NBFCs)
540146,ACML,Aditya Consumer Marketing Ltd,Active,M,10.00,INE427V01013,Distributors
541144,ACTIVE,Active Clothing Co Ltd,Active,M,10.00,INE380Z01015,Other Apparels & Accessories
543309,ADESHWAR,Adeshwar Meditex Ltd,Active,MT,10.00,INE0H8J01015,Healthcare Supplies
780018,ADHIRAJ (ITP),Adhiraj Distributors Ltd (ITP),Active,IP,10.00,INE067R01015,-
543230,ADVAIT,Advait Infratech Ltd,Active,M,10.00,INE0ALI01010,Other Elect.Equip./ Prod.
541152,ADVITIYA,Advitiya Trade India Ltd,Active,M,10.00,INE705X01018,Comm.Trading  & Distribution
541402,AFFORDABLE,Affordable Robotic & Automation Ltd,Active,M,10.00,INE692Z01013,Industrial Machinery
542579,AGOL,Ashapuri Gold Ornament Ltd,Active,M,10.00,INE05FR01011,Other Apparels & Accessories
537492,AGRIMONY,Agrimony Commodities Ltd,Active,M,10.00,INE567P01018,Comm.Trading  & Distribution
542020,AKI,AKI India Ltd,Active,M,10.00,INE642Z01018,Other Apparels & Accessories
540718,AKM,AKM Lace and Embrotex Ltd,Active,M,10.00,INE777X01017,Textiles
541303,AKSHAR,Akshar Spintex Ltd,Active,M,10.00,INE256Z01017,Textiles
535916,ALSL,Alacrity Securities Ltd,Active,M,10.00,INE030P01017,Other Financial Services
540923,AML,Ashoka Metcast Ltd,Active,M,10.00,INE760Y01011,Construction & Engineering
539265,AMRAFIN,Amrapali Fincap Ltd,Active,M,10.00,INE990S01016,Finance (including NBFCs)
540694,ANG,ANG Lifesciences India Ltd,Active,M,10.00,INE236W01016,Healthcare Services
541006,ANGEL,Angel Fibers Ltd,Active,M,10.00,INE339Z01011,Textiles
542865,ANUROOP,Anuroop Packaging Ltd,Active,M,10.00,INE490Z01012,Containers & Packaging
539403,ARAMBHAN,Arambhan Hospitality Services Ltd,Active,M,10.00,INE800S01017,Restaurants
541401,ARIHANTINS,Arihant Institute Ltd,S,MT,10.00,INE997Z01016,Education
542721,ARL,Anand Rayons Ltd,Active,M,10.00,INE02GA01012,Comm.Trading  & Distribution
538716,ARYACAPM,Aryaman Capital Markets Ltd,Active,M,10.00,INE229R01011,Other Financial Services
543236,ATAM,Atam Valves Ltd,Active,M,10.00,INE09KD01013,Industrial Machinery
539099,ATHCON,Athena Constructions Ltd,Active,M,10.00,INE291R01011,Realty
536492,ATWL,Ace Tours Worldwide Ltd,D,MT,10.00,INE926O01019,Travel Support Services
780004,AUTUMN (ITP),Autumn Builders Ltd (ITP),S,IP,10.00,INE733P01016,-
542285,AXITA,Axita Cotton Ltd,Active,M,10.00,INE02EZ01014,Textiles
541178,BENARA,Benara Bearings and Pistons Ltd,Active,M,10.00,INE495Z01011,Other Industrial Goods
538576,BHANDERI,Bhanderi Infracon Ltd,Active,MT,10.00,INE336Q01016,Realty
543209,BILLWIN,Billwin Industries Ltd,Active,M,10.00,INE0CRS01012,Diversified
540148,BINDALEXPO,Bindal Exports Ltd,Active,M,10.00,INE564V01013,Other Apparels & Accessories
535279,BMAL,BOTHRA METALS & ALLOYS LTD.,Active,M,10.00,INE583M01012,Aluminium
543211,BONLON,Bonlon Industries Ltd,Active,M,10.00,INE0B9A01018,Other Industrial Products
538546,BRPL,Bansal Roofing Products Ltd,Active,M,10.00,INE319Q01012,Iron & Steel Products
539637,BVL,Blueblood Ventures Ltd,Active,M,10.00,INE562S01013,Other Financial Services
538817,CAPPIPES,Captain Pipes Ltd,Active,M,10.00,INE513R01018,Plastic Products
542934,CBPL,Chandra Bhagat Pharma Ltd,Active,M,10.00,INE07QQ01016,Pharmaceuticals
542678,CHCL,Cian Healthcare Ltd,Active,M,10.00,INE05BN01019,Pharmaceuticals
540395,CHEMCRUX,Chemcrux Enterprises Ltd,Active,M,10.00,INE298W01016,Specialty Chemicals
540681,CHOTHANI,Chothani Foods Ltd,Active,M,10.00,INE344X01016,Packaged Foods
780013,CITYON (ITP),Cityon Systems (India) Ltd (ITP),Active,IP,10.00,INE324P01014,-
535142,CNEL,CHANNEL NINE ENTERTAINMENT LTD.,S,MT,1.00,INE437O01025,Movies & Entertainment
543172,COSPOWER,Cospower Engineering Ltd,Active,M,10.00,INE0CQB01010,Industrial Machinery
542727,CPML,City Pulse Multiplex Ltd,Active,MT,10.00,INE056001014,Specialty Retail
540903,CRPRISK,CRP Risk Management Ltd,S,MT,10.00,INE422M01013,Consulting Services
540652,CTCL,Captain Technocast Ltd,Active,M,10.00,INE931X01010,Other Industrial Goods
542002,DCL,Devoted Construction Ltd,Active,M,10.00,INE061Z01011,Realty
542248,DECCAN,Deccan Health Care Ltd,Active,M,10.00,INE452W01019,Healthcare Services
780006,DEKSON (ITP),Dekson Castings Ltd (ITP),S,IP,1000.00,INE465Q01013,-
542155,DGL,Diksha Greens Ltd,Active,M,10.00,INE01GR01018,Comm.Trading  & Distribution
541302,DHRUV,Dhruv Consultancy Services Ltd,Active,M,10.00,INE506Z01015,Construction & Engineering
540151,DIKSAT,Diksat Transworld Ltd,Active,M,10.00,INE942P01013,Movies & Entertainment
543193,DJML,DJ Mediaprint & Logistics Ltd,Active,M,10.00,INE0B1K01014,Transportation - Logistics
541299,DLCL,Dr Lalchandani Labs Ltd,Active,M,10.00,INE871Z01013,Healthcare Services
